"origin","destination","distance","duration","id"
2,2,0,0,
2,29,266,3.96,
2,36,361,5.36,
2,50,167,4.21,
2,56,678,9.84,
2,59,661,9.31,
2,72,339,5.39,
2,73,250,3.69,
2,81,568,8.33,
2,82,579,8.38,
2,84,554,8,
2,94,209,3.09,
2,112,473,7.75,
2,115,435,7.04,
2,117,415,6.98,
2,139,491,7.3,
2,159,564,9.3,
2,169,469,6.87,
2,182,389,5.99,
2,183,376,5.61,
2,184,481,7.15,
2,195,321,4.65,
2,196,352,5.13,
29,2,266,3.96,
29,29,0,0,
29,36,101,1.61,
29,50,316,5.02,
29,56,455,6.42,
29,59,438,5.88,
29,72,321,5.14,
29,73,232,3.43,
29,81,307,4.58,
29,82,319,4.63,
29,84,294,4.25,
29,94,472,6.3,
29,112,456,7.49,
29,115,417,6.78,
29,117,397,6.72,
29,139,231,3.56,
29,159,304,5.56,
29,169,209,3.12,
29,182,371,5.73,
29,183,358,5.35,
29,184,264,3.84,
29,195,60,0.91,
29,196,92,1.38,
36,2,361,5.36,
36,29,101,1.61,
36,36,0,0,
36,50,411,6.51,
36,56,352,5.08,
36,59,335,4.55,
36,72,416,6.62,
36,73,327,4.92,
36,81,205,3.25,
36,82,216,3.29,
36,84,191,2.91,
36,94,567,7.79,
36,112,450,7.98,
36,115,409,7.19,
36,117,492,8.21,
36,139,221,3.64,
36,159,201,4.22,
36,169,106,1.78,
36,182,466,7.22,
36,183,453,6.84,
36,184,162,2.5,
36,195,40,0.88,
36,196,83,1.46,
50,2,167,4.21,
50,29,316,5.02,
50,36,411,6.51,
50,50,0,0,
50,56,616,8.87,
50,59,598,8.34,
50,72,276,4.42,
50,73,187,2.72,
50,81,643,9.3,
50,82,655,9.34,
50,84,630,8.97,
50,94,243,3.76,
50,112,411,6.78,
50,115,372,6.07,
50,117,352,6.01,
50,139,567,8.27,
50,159,510,8.61,
50,169,545,7.84,
50,182,326,5.02,
50,183,313,4.64,
50,184,418,6.18,
50,195,396,5.62,
50,196,428,6.1,
56,2,678,9.84,
56,29,455,6.42,
56,36,352,5.08,
56,50,616,8.87,
56,56,0,0,
56,59,35,1.02,
56,72,573,8.71,
56,73,484,7,
56,81,441,6.97,
56,82,452,7.02,
56,84,427,6.64,
56,94,841,12.39,
56,112,489,8.88,
56,115,448,8.08,
56,117,649,10.29,
56,139,515,7.84,
56,159,250,5.15,
56,169,342,5.51,
56,182,623,9.3,
56,183,609,8.92,
56,184,197,3.31,
56,195,396,6.33,
56,196,439,6.91,
59,2,661,9.31,
59,29,438,5.88,
59,36,335,4.55,
59,50,598,8.34,
59,56,35,1.02,
59,59,0,0,
59,72,555,8.18,
59,73,466,6.48,
59,81,423,6.45,
59,82,435,6.49,
59,84,410,6.11,
59,94,824,11.86,
59,112,472,8.35,
59,115,431,7.56,
59,117,631,9.77,
59,139,498,7.31,
59,159,232,4.62,
59,169,325,4.98,
59,182,605,8.78,
59,183,592,8.4,
59,184,180,2.78,
59,195,379,5.8,
59,196,422,6.38,
72,2,339,5.39,
72,29,321,5.14,
72,36,416,6.62,
72,50,276,4.42,
72,56,573,8.71,
72,59,555,8.18,
72,72,0,0,
72,73,98,1.91,
72,81,622,9.66,
72,82,634,9.7,
72,84,609,9.33,
72,94,503,7.87,
72,112,313,5.78,
72,115,274,5.07,
72,117,179,4.01,
72,139,547,8.62,
72,159,467,8.35,
72,169,524,8.19,
72,182,104,2.08,
72,183,91,1.7,
72,184,375,5.92,
72,195,376,5.97,
72,196,408,6.44,
73,2,250,3.69,
73,29,232,3.43,
73,36,327,4.92,
73,50,187,2.72,
73,56,484,7,
73,59,466,6.48,
73,72,98,1.91,
73,73,0,0,
73,81,532,7.96,
73,82,543,8,
73,84,518,7.62,
73,94,413,6.17,
73,112,221,4.19,
73,115,183,3.47,
73,117,163,3.42,
73,139,457,6.92,
73,159,377,6.65,
73,169,434,6.49,
73,182,148,2.5,
73,183,135,2.12,
73,184,285,4.22,
73,195,286,4.26,
73,196,318,4.74,
81,2,568,8.33,
81,29,307,4.58,
81,36,205,3.25,
81,50,643,9.3,
81,56,441,6.97,
81,59,423,6.45,
81,72,622,9.66,
81,73,532,7.96,
81,81,0,0,
81,82,26,0.57,
81,84,16,0.42,
81,94,773,10.69,
81,112,536,9.19,
81,115,496,8.39,
81,117,696,10.6,
81,139,269,3.94,
81,159,180,3.84,
81,169,103,1.66,
81,182,670,9.61,
81,183,657,9.23,
81,184,248,3.71,
81,195,246,3.79,
81,196,289,4.36,
82,2,579,8.38,
82,29,319,4.63,
82,36,216,3.29,
82,50,655,9.34,
82,56,452,7.02,
82,59,435,6.49,
82,72,634,9.7,
82,73,543,8,
82,81,26,0.57,
82,82,0,0,
82,84,27,0.47,
82,94,785,10.74,
82,112,548,9.24,
82,115,507,8.45,
82,117,707,10.65,
82,139,280,4,
82,159,192,3.89,
82,169,114,1.71,
82,182,682,9.67,
82,183,668,9.29,
82,184,260,3.76,
82,195,257,3.84,
82,196,300,4.42,
84,2,554,8,
84,29,294,4.25,
84,36,191,2.91,
84,50,630,8.97,
84,56,427,6.64,
84,59,410,6.11,
84,72,609,9.33,
84,73,518,7.62,
84,81,16,0.42,
84,82,27,0.47,
84,84,0,0,
84,94,761,10.38,
84,112,524,8.88,
84,115,483,8.09,
84,117,684,10.29,
84,139,256,3.64,
84,159,168,3.54,
84,169,91,1.35,
84,182,658,9.31,
84,183,644,8.93,
84,184,236,3.4,
84,195,233,3.48,
84,196,276,4.06,
94,2,209,3.09,
94,29,472,6.3,
94,36,567,7.79,
94,50,243,3.76,
94,56,841,12.39,
94,59,824,11.86,
94,72,503,7.87,
94,73,413,6.17,
94,81,773,10.69,
94,82,785,10.74,
94,84,761,10.38,
94,94,0,0,
94,112,637,10.03,
94,115,598,9.32,
94,117,578,9.26,
94,139,698,10.42,
94,159,736,11.86,
94,169,676,9.98,
94,182,552,8.28,
94,183,539,7.9,
94,184,644,9.43,
94,195,527,7.77,
94,196,559,8.24,
112,2,473,7.75,
112,29,456,7.49,
112,36,450,7.98,
112,50,411,6.78,
112,56,489,8.88,
112,59,472,8.35,
112,72,313,5.78,
112,73,221,4.19,
112,81,536,9.19,
112,82,548,9.24,
112,84,524,8.88,
112,94,637,10.03,
112,112,0,0,
112,115,41,0.8,
112,117,92,2.46,
112,139,612,10.67,
112,159,383,8.49,
112,169,439,8.34,
112,182,367,7.22,
112,183,354,6.84,
112,184,291,6.06,
112,195,512,9.12,
112,196,544,9.6,
115,2,435,7.04,
115,29,417,6.78,
115,36,409,7.19,
115,50,372,6.07,
115,56,448,8.08,
115,59,431,7.56,
115,72,274,5.07,
115,73,183,3.47,
115,81,496,8.39,
115,82,507,8.45,
115,84,483,8.09,
115,94,598,9.32,
115,112,41,0.8,
115,115,0,0,
115,117,100,2.72,
115,139,571,9.87,
115,159,342,7.69,
115,169,398,7.54,
115,182,328,6.5,
115,183,315,6.12,
115,184,249,5.27,
115,195,452,8.36,
115,196,505,8.87,
117,2,415,6.98,
117,29,397,6.72,
117,36,492,8.21,
117,50,352,6.01,
117,56,649,10.29,
117,59,631,9.77,
117,72,179,4.01,
117,73,163,3.42,
117,81,696,10.6,
117,82,707,10.65,
117,84,684,10.29,
117,94,578,9.26,
117,112,92,2.46,
117,115,100,2.72,
117,117,0,0,
117,139,642,11.01,
117,159,442,10.4,
117,169,499,10.25,
117,182,197,5.24,
117,183,183,4.86,
117,184,350,7.98,
117,195,472,8.36,
117,196,503,8.83,
139,2,491,7.3,
139,29,231,3.56,
139,36,221,3.64,
139,50,567,8.27,
139,56,515,7.84,
139,59,498,7.31,
139,72,547,8.62,
139,73,457,6.92,
139,81,269,3.94,
139,82,280,4,
139,84,256,3.64,
139,94,698,10.42,
139,112,612,10.67,
139,115,571,9.87,
139,117,642,11.01,
139,139,0,0,
139,159,286,5.26,
139,169,192,2.83,
139,182,596,8.98,
139,183,583,8.6,
139,184,323,4.67,
